"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MOUSER";"NEWARK";"RICHARDSON_RFPD";
"A1";"FRACTUS-2.4GHZ-FR05-S1-N-0-102";"FRACTUS-2.4GHZ-FR05-S1-N-0-102";"FRACTUS-ANTENNA-FR05-S1-N-0-102";"Fractus Compact Reach XtendTM chip antenna is engineered specifically for Bluetooth,";"";"";"";"FR05-S1-N-0102B";
"B1";"BAL-NRF01D3";"BAL-NRF01D3";"BAL-NRF01D3";"50 ohm nominal input / conjugate match balun to nRF51422-QFAA,";"497-13637-1-ND";"511-BAL-NRF01D3";"";"";
"BT1";"ML-1220/F1AN";"ML-1220/F1AN";"ML-1220/F1BN";"BATTERY LITH 3V RECHARGE PC PINS";"P663-nd";"658-ML-1220/F1BN";"";"";
"C1";"0.8pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C2";"12pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C3";"12pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C4";"12pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C5";"12pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C6";"1nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C7";"1nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C8";"2.2nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C9";"10nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C10";"47nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C11";"0.1uF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C12";"0.1uF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C13";"1uF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C14";"4.7uF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"";"";"";"";
"C15";"10uF";"CAPACITOR0603_CAP";"0603_CAP";"0402 Capacitor";"490-7316-1-ND";"";"";"";
"C16";"10uF";"CAPACITOR0603_CAP";"0603_CAP";"0402 Capacitor";"490-7316-1-ND";"";"";"";
"D1";"SML-LX0404SIUPGUSB";"SML-LX0404SIUPGUSB";"1MM_SQ_4PAD";"1mm^2 RGB LED";"67-2125-1-ND";"";"";"";
"J1";"TC2030-JLINK-NL";"TC2030-JLINK-NL";"TC2030-IDC-NL";"";"";"";"";"";
"J2";"SH_MALE_2/1MM";"SH_MALE_2/1MM";"SH-1X2/1MM";"1.0mm pitch/Disconnectable Crimp style connectors";"455-1788-2-ND";"";"";"";
"J3";"ATUM-HEADER";"ATUM-HEADER";"ATUM-HEADER";"Castellated header for the Atum board.";"";"";"";"";
"L1";"15nH";"INDUCTOR0402";"0402_CAP";"";"";"";"";"";
"L2";"2.2uH";"MIPSZ2012D";"MIPSZ201D";"FDK Multi-layer Power Inductor : MIPSZ2012D series (Very Small Type)";"";"";"";"";
"L3";"10uH";"INDUCTOR0603";"0603_CAP";"";"";"";"";"";
"LOGO1";"UMICH_SOLID_TINY";"UMICH_SOLID_TINY";"UMICH_SOLID_50MIL";"";"";"";"";"";
"R1";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"";"";"";
"R2";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"";"";"";
"R3";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"";"";"";
"R4";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"";"";"";
"R5";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"";"";"";
"R6";"12k";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"";"";"";
"S1";"RES_SWITCH";"RES_SWITCH";"RES_SWITCH";"0402 Static Resistor Selector";"";"";"";"";
"U2";"FM25LBTDFN-8";"FM25LBTDFN-8";"TDFN-8";"IC FRAM 4KBIT 10MHZ 8SOIC";"FM25L04B-DGRA-ND";" 877-FM25L04B-DG ";"";"";
"U3";"RV-3049-C3";"RV-3049-C3";"MICRO-CRYSTAL-C3";"The RV-3049-C3 is an ultra miniature Real-Time-Clock Module";"";"";"";"";
"U4";"TPS62740";"TPS62740";"R-PWSON-12";"360nA Step Down Converter for Low Power Applications";"296-37134-1-ND";"595-TPS62740DSST";"27X9745";"";
"U5";"NRF51822QF";"NRF51822QF";"QFN-48-6MM";"Multiprotocol BluetoothÂ® 4.0 low energy/2.4 GHz RF SoC";"1490-1032-1-ND";"949-NRF51822-QFAB-R7";"";"";
"X1";"EPSON-FA-128";"EPSON-FA-128";"FA-128";"MHz RANGE CRYSTAL UNIT";"";"";"";"";
"X2";"ABS05-32.768KHZ-T";"ABS05-32.768KHZ-T";"ABS05";"32.768kHz Crystal";"535-11899-1-ND";"";"";"";
